"model_row_id","cell_id","document_id","lemma","lemma_std","std_infl","has_levelled","outcome_token_count","leveled_tokens","preserved_tokens","n_tokens","date","log_freq","log_freq_min","log_freq_max","n_log_freq_values","log_token_freq","has_alt_pres","log_alt_pres_freq","has_alt_past","log_alt_past_freq","marking_type","is_bipartite","element_type","variety","corpus"
"ENHG:F001|7|PastPl|0","ENHG:F001|7|PastPl","ENHG:F001","slahen","7","PastPl",0,1,0,1,1,1363,-1.33423387347486,-1.33423387347486,-1.33423387347486,1,-5.14713544497499,"yes",2.07944154167984,"no",0,"vowel_bipartite","1","vowel","Upper German","ENHG"
"ENHG:F001|10|PastPl|0","ENHG:F001|10|PastPl","ENHG:F001","sterben","10","PastPl",0,3,0,3,3,1363,-0.764704728971008,-0.764704728971008,-0.764704728971008,1,-5.59788912081843,"yes",2.19722457733622,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","ENHG"
"ENHG:F001|10|PastSg|0","ENHG:F001|10|PastSg","ENHG:F001","sterben","10","PastSg",0,1,0,1,1,1363,-0.764704728971008,-0.764704728971008,-0.764704728971008,1,-2.39207210344955,"yes",3.71357206670431,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","ENHG"
"ENHG:F001|11|PastSg|0","ENHG:F001|11|PastSg","ENHG:F001","tragen","11","PastSg",0,4,0,4,4,1363,-0.86345641215921,-0.86345641215921,-0.86345641215921,1,-4.36427056788418,"yes",2.07944154167984,"yes",0,"vowel_unipartite","0","vowel","Upper German","ENHG"
"ENHG:F001|16|PastPl|0","ENHG:F001|16|PastPl","ENHG:F001","werfen","16","PastPl",0,1,0,1,1,1363,-1.95172678382452,-1.95172678382452,-1.95172678382452,1,-5.56636586684429,"yes",2.19722457733622,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","ENHG"
"ENHG:F001|21|PastSg|0","ENHG:F001|21|PastSg","ENHG:F001","geben","21","PastSg",0,1,0,1,1,1363,0.660919723409364,0.660919723409364,0.660919723409364,1,-1.28213859406203,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","ENHG"
"ENHG:F001|22|PastSg|0","ENHG:F001|22|PastSg","ENHG:F001","sehen","22","PastSg",0,2,0,2,2,1363,-0.015531076223509,-0.015531076223509,-0.015531076223509,1,-1.55686693786706,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","ENHG"
"ENHG:F001|25|PastSg|0","ENHG:F001|25|PastSg","ENHG:F001","ligen","25","PastSg",0,1,0,1,1,1363,-0.30809425204923,-0.30809425204923,-0.30809425204923,1,-2.49049156017185,"yes",3.36729582998647,"no",0,"vowel_unipartite","0","vowel","Upper German","ENHG"
"ENHG:F001|26|PastSg|0","ENHG:F001|26|PastSg","ENHG:F001","schrîben","26","PastSg",0,1,0,1,1,1363,-1.06670645817508,-1.06670645817508,-1.06670645817508,1,-5.59191778976804,"yes",3.40119738166216,"yes",3.3322045101752,"vowel_unipartite","0","vowel","Upper German","ENHG"
"ENHG:F001|27|PastPl|0","ENHG:F001|27|PastPl","ENHG:F001","sprechen","27","PastPl",0,3,0,3,3,1363,0.960647707620661,0.960647707620661,0.960647707620661,1,-2.30119904629653,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","ENHG"
"ENHG:F001|27|PastSg|0","ENHG:F001|27|PastSg","ENHG:F001","sprechen","27","PastSg",0,2,0,2,2,1363,0.960647707620661,0.960647707620661,0.960647707620661,1,-0.140614678045866,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","ENHG"
"ENHG:F001|31|PastSg|0","ENHG:F001|31|PastSg","ENHG:F001","dringen","31","PastSg",0,1,0,1,1,1363,-3.06950724084055,-3.06950724084055,-3.06950724084055,1,-4.597634646758,"yes",3.36729582998647,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","ENHG"
"ENHG:F001|39|PastSg|0","ENHG:F001|39|PastSg","ENHG:F001","finden","39","PastSg",0,3,0,3,3,1363,-0.144435789069143,-0.144435789069143,-0.144435789069143,1,-2.69032329682431,"yes",3.36729582998647,"yes",3.46573590279973,"vowel_unipartite","0","vowel","Upper German","ENHG"
"ENHG:F001|49|PastSg|0","ENHG:F001|49|PastSg","ENHG:F001","nëmen","49","PastSg",0,1,0,1,1,1363,0.0795023921755933,0.0795023921755933,0.0795023921755933,1,-1.21522545296322,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","ENHG"
"ENHG:F001|59|PastSg|0","ENHG:F001|59|PastSg","ENHG:F001","sitzen","59","PastSg",0,1,0,1,1,1363,-1.09036364246429,-1.09036364246429,-1.09036364246429,1,-2.94496913527607,"yes",3.36729582998647,"no",0,"vowel_unipartite","0","vowel","Upper German","ENHG"
"ENHG:F001|119|PastSg|0","ENHG:F001|119|PastSg","ENHG:F001","schëhen","119","PastSg",0,2,0,2,2,1363,-0.299807432484433,-0.299807432484433,-0.299807432484433,1,-2.38921485870877,"yes",3.71357206670431,"no",0,"vowel_unipartite","0","vowel","Upper German","ENHG"
