seq_id,lemma_id,principal_part,obs_index,date,n1,n2,n3,n4,n_total,avg_form_freq,avg_lemma_freq,prop_bipartite,variety,corpus,variety_code,corpus_code,time_interval_to_next
1,1,1,1,1033.0,1,0,0,0,1,0.1713659181878946,1.5240710959199404,0.0,Upper German,MHG,1,1,17.0
1,1,1,2,1050.0,1,0,0,0,1,0.0007754113945153,0.0003877056972576,0.75,Upper German,MHG,1,1,15.0
1,1,1,3,1065.0,6,0,0,0,6,0.005104791680559417,0.7806454214283388,0.25,Upper German,MHG,1,1,5.0
1,1,1,4,1070.0,1,4,0,0,5,0.08327918377094964,0.9336728601359452,0.2857142857142857,Upper German,MHG,1,1,10.0
1,1,1,5,1080.0,1,2,0,1,4,0.12358119100088547,1.1629232389244115,0.6363636363636364,Central German,MHG,2,1,20.0
1,1,1,6,1100.0,12,10,2,2,26,0.06859408489943565,0.6512561008473815,0.275,Central German,MHG,2,1,8.0
1,1,1,7,1108.0,1,1,0,0,2,0.21440125058349704,1.5240710959199404,0.4,Upper German,MHG,1,1,12.0
1,1,1,8,1120.0,4,2,0,0,6,0.0984772471034507,1.2752286558967194,0.14285714285714285,Upper German,MHG,1,1,5.0
1,1,1,9,1125.0,4,3,0,1,8,0.08451984200217422,1.2065401298659004,0.4090909090909091,Upper German,MHG,1,1,5.0
1,1,1,10,1130.0,8,1,0,1,10,0.06978702550638237,0.664798959087744,0.25,Upper German,MHG,1,1,10.0
1,1,1,11,1140.0,5,3,1,0,9,0.04833397692479073,0.7602908723223106,0.38095238095238093,Upper German,MHG,1,1,5.0
1,1,1,12,1145.0,10,15,0,3,28,0.056425025583037317,0.4712424283846652,0.48333333333333334,Upper German,MHG,1,1,5.0
1,1,1,13,1150.0,10,8,0,2,20,0.0779870010033823,0.42738737537200355,0.40540540540540543,Upper German,MHG,1,1,5.0
1,1,1,14,1155.0,5,6,0,0,11,0.041273033771703896,0.4862181903336087,0.4,Upper German,MHG,1,1,5.0
1,1,1,15,1160.0,17,13,0,1,31,0.07054993026550231,0.7460458146069398,0.3076923076923077,Central German,MHG,2,1,4.0
1,1,1,16,1164.0,1,0,0,0,1,0.2574365829790995,0.0100803481286996,0.0,Central German,MHG,2,1,1.0
1,1,1,17,1165.0,3,3,0,0,6,0.12613358684116519,0.5864048671022412,0.2857142857142857,Central German,MHG,2,1,2.0
1,1,1,18,1167.0,10,26,0,1,37,0.054739853039841045,0.7175803744298159,0.3050847457627119,Central German,MHG,2,1,5.0
