seq_id,lemma_id,principal_part,obs_index,date,n1,n2,n3,n4,n_total,avg_form_freq,avg_lemma_freq,prop_bipartite,variety,corpus,variety_code,corpus_code,time_interval_to_next
1,1,1,1,1080.0,1,2,0,1,4,0.12358119100088547,1.1629232389244115,0.6363636363636364,Central German,MHG,1,2,20.0
1,1,1,2,1100.0,6,7,0,1,14,0.0545557302569735,0.5917219738074893,0.21052631578947367,Central German,MHG,1,2,50.0
1,1,1,3,1150.0,2,3,0,1,6,0.05783276650760388,0.5732874910116895,0.45454545454545453,Central German,MHG,1,2,10.0
1,1,1,4,1160.0,10,6,0,0,16,0.08500447412374632,0.6847367245692202,0.2857142857142857,Central German,MHG,1,2,4.0
1,1,1,5,1164.0,1,0,0,0,1,0.2574365829790995,0.0100803481286996,0.0,Central German,MHG,1,2,1.0
1,1,1,6,1165.0,3,2,0,0,5,0.09987298761357834,0.7026002645703678,0.2727272727272727,Central German,MHG,1,2,2.0
1,1,1,7,1167.0,10,18,0,1,29,0.05124399784788573,0.771320430951193,0.2978723404255319,Central German,MHG,1,2,13.0
1,1,1,8,1180.0,1,1,0,0,2,0.16012245296742178,1.5240710959199404,0.36363636363636365,Central German,MHG,1,2,5.0
1,1,1,9,1185.0,0,3,0,0,3,0.059060501215586564,1.03116791947301,0.3333333333333333,Central German,MHG,1,2,10.0
1,1,1,10,1195.0,4,3,0,0,7,0.11836101071995171,0.9123268921755009,0.45,Central German,MHG,1,2,5.0
1,1,1,11,1200.0,2,4,0,0,6,0.05951282452905385,0.5685704050283878,0.3,Central German,MHG,1,2,10.0
1,1,1,12,1210.0,1,8,0,0,9,0.09481558218490596,0.8016461466964632,0.5357142857142857,Central German,MHG,1,2,8.0
1,1,1,13,1218.0,0,1,0,1,2,0.0003877056972576,0.14965439914146444,0.6666666666666666,Central German,MHG,1,2,2.0
1,1,1,14,1220.0,0,0,0,1,1,0.0003877056972576,0.0062032911561228,0.6666666666666666,Central German,MHG,1,2,5.0
1,1,1,15,1225.0,0,6,0,0,6,0.02184075427884925,0.7701773676023814,0.09090909090909091,Central German,MHG,1,2,8.0
1,1,1,16,1233.0,12,19,0,0,31,0.040659071670474715,0.6329483107262558,0.21739130434782608,Central German,MHG,1,2,27.0
1,1,1,17,1260.0,0,4,0,1,5,0.07188063627157384,1.2235991805452382,0.4444444444444444,Central German,MHG,1,2,3.0
1,1,1,18,1263.0,4,4,0,2,10,0.0744782644432003,0.35331620191092383,0.35294117647058826,Central German,MHG,1,2,12.0
1,1,1,19,1275.0,4,5,0,1,10,0.0602882359235692,0.6981804196216302,0.3,Central German,MHG,1,2,5.0
1,1,1,20,1280.0,4,12,0,1,17,0.057745342673908524,0.7576225448764784,0.043478260869565216,Central German,MHG,1,2,8.0
1,1,1,21,1288.0,4,4,0,0,8,0.09523021188891762,1.011184921660187,0.26666666666666666,Central German,MHG,1,2,7.0
1,1,1,22,1295.0,5,2,0,1,8,0.063244491865159,0.6421375610830325,0.47058823529411764,Central German,MHG,1,2,3.0
1,1,1,23,1298.0,0,5,0,0,5,0.01667134498208018,0.6611932961032476,0.3333333333333333,Central German,MHG,1,2,2.0
1,1,1,24,1300.0,1,5,0,0,6,0.07353484724653996,0.39268125370582024,0.42857142857142855,Central German,MHG,1,2,1.0
1,1,1,25,1301.0,1,1,0,0,2,0.21440125058349704,1.5240710959199404,0.36363636363636365,Central German,MHG,1,2,7.0
1,1,1,26,1308.0,4,8,0,0,12,0.0689469964956574,0.44818778602987813,0.21052631578947367,Central German,MHG,1,2,2.0
1,1,1,27,1310.0,4,5,0,0,9,0.09007695699620095,0.7790730594339048,0.1111111111111111,Central German,MHG,1,2,38.0
1,1,1,28,1348.0,0,1,0,0,1,0.001163117091773,1.5240710959199404,0.5,Central German,MHG,1,2,0.0
2,1,2,1,1080.0,0,0,0,4,4,0.003101645578061375,0.8293024864341777,0.6363636363636364,Central German,MHG,1,2,20.0
2,1,2,2,1100.0,0,0,0,2,2,0.015702080738936,1.5240710959199404,0.21052631578947367,Central German,MHG,1,2,50.0
2,1,2,3,1150.0,0,0,0,2,2,0.0100803481286996,0.8017753819288824,0.45454545454545453,Central German,MHG,1,2,10.0
2,1,2,4,1160.0,0,1,0,4,5,0.04086418049095944,0.4107354156747863,0.2857142857142857,Central German,MHG,1,2,7.0
2,1,2,5,1167.0,0,0,0,6,6,0.020096078641189685,0.614836618234471,0.2978723404255319,Central German,MHG,1,2,13.0
2,1,2,6,1180.0,0,0,0,3,3,0.0288194568294875,0.5951282452905389,0.36363636363636365,Central German,MHG,1,2,5.0
2,1,2,7,1185.0,0,0,0,1,1,0.0841321363049165,0.0031016455780614,0.3333333333333333,Central German,MHG,1,2,10.0
2,1,2,8,1195.0,0,0,0,2,2,0.031598014326500896,0.1188317962094789,0.45,Central German,MHG,1,2,5.0
2,1,2,9,1200.0,0,0,0,3,3,0.02907792729432594,0.5321906871023755,0.3,Central German,MHG,1,2,10.0
2,1,2,10,1210.0,0,0,0,6,6,0.029465632991583637,0.8929508384006469,0.5357142857142857,Central German,MHG,1,2,8.0
2,1,2,11,1218.0,0,0,0,3,3,0.0020677637187075664,0.627049347698088,0.6666666666666666,Central German,MHG,1,2,2.0
2,1,2,12,1220.0,0,0,0,1,1,0.0003877056972576,1.5240710959199404,0.6666666666666666,Central German,MHG,1,2,13.0
2,1,2,13,1233.0,0,0,0,2,2,0.0612575001667134,1.5240710959199404,0.21739130434782608,Central German,MHG,1,2,27.0
2,1,2,14,1260.0,0,0,0,2,2,0.04594312512503505,0.9008341875782196,0.4444444444444444,Central German,MHG,1,2,3.0
2,1,2,15,1263.0,0,0,0,3,3,0.007107937783057401,0.0860706647912049,0.35294117647058826,Central German,MHG,1,2,12.0
2,1,2,16,1275.0,0,2,0,3,5,0.048695835575564575,0.9158383980620919,0.3,Central German,MHG,1,2,13.0
2,1,2,17,1288.0,0,0,0,3,3,0.0034893512753191003,0.677321853109167,0.26666666666666666,Central German,MHG,1,2,7.0
2,1,2,18,1295.0,0,0,0,5,5,0.00178344620738526,0.3715771402517606,0.47058823529411764,Central German,MHG,1,2,3.0
2,1,2,19,1298.0,0,0,0,2,2,0.0003877056972576,1.5240710959199404,0.3333333333333333,Central German,MHG,1,2,2.0
2,1,2,20,1300.0,0,0,0,3,3,0.023133106603041534,0.10778218383763503,0.42857142857142855,Central German,MHG,1,2,1.0
2,1,2,21,1301.0,0,2,0,1,3,0.006203291156122833,0.6615551547540214,0.36363636363636365,Central German,MHG,1,2,7.0
2,1,2,22,1308.0,0,0,0,2,2,0.0048463212157209504,0.13201378991624,0.21052631578947367,Central German,MHG,1,2,2.0
2,1,2,23,1310.0,0,2,0,1,3,0.06384220481509793,0.5496374434789711,0.1111111111111111,Central German,MHG,1,2,0.0
3,1,3,1,1080.0,0,0,0,2,2,0.0065909968533805,0.8017753819288824,0.6363636363636364,Central German,MHG,1,2,20.0
3,1,3,2,1100.0,0,0,0,1,1,0.0003877056972576,1.5240710959199404,0.21052631578947367,Central German,MHG,1,2,50.0
3,1,3,3,1150.0,0,0,0,2,2,0.007172555399266999,0.9008341875782196,0.45454545454545453,Central German,MHG,1,2,10.0
3,1,3,4,1160.0,0,0,0,4,4,0.014538963647162974,0.8366688946820736,0.2857142857142857,Central German,MHG,1,2,5.0
3,1,3,5,1165.0,0,0,0,3,3,0.011631170917730332,1.092813125336981,0.2727272727272727,Central German,MHG,1,2,2.0
3,1,3,6,1167.0,0,2,0,5,7,0.030794909667895685,1.1611785632867517,0.2978723404255319,Central German,MHG,1,2,13.0
3,1,3,7,1180.0,0,0,0,1,1,0.0697870255063824,1.5240710959199404,0.36363636363636365,Central German,MHG,1,2,5.0
3,1,3,8,1185.0,0,0,0,1,1,0.0015508227890307,1.5240710959199404,0.3333333333333333,Central German,MHG,1,2,10.0
3,1,3,9,1195.0,0,0,0,6,6,0.007172555399267016,0.849980123621254,0.45,Central German,MHG,1,2,15.0
3,1,3,10,1210.0,0,0,0,9,9,0.007237173015476633,0.8041877729340413,0.5357142857142857,Central German,MHG,1,2,8.0
3,1,3,11,1218.0,0,0,0,2,2,0.00058155854588645,0.9008341875782196,0.6666666666666666,Central German,MHG,1,2,7.0
3,1,3,12,1225.0,0,0,0,1,1,0.0003877056972576,1.5240710959199404,0.09090909090909091,Central German,MHG,1,2,8.0
3,1,3,13,1233.0,0,0,0,6,6,0.016219021668612867,0.2775326616202893,0.21739130434782608,Central German,MHG,1,2,27.0
3,1,3,14,1260.0,0,0,0,1,1,0.0042647626698344,1.5240710959199404,0.4444444444444444,Central German,MHG,1,2,3.0
3,1,3,15,1263.0,0,0,0,1,1,0.0139574051012764,1.5240710959199404,0.35294117647058826,Central German,MHG,1,2,12.0
3,1,3,16,1275.0,0,0,0,2,2,0.0027139398808037002,1.5240710959199404,0.3,Central German,MHG,1,2,13.0
3,1,3,17,1288.0,0,0,0,1,1,0.0050401740643498,1.5240710959199404,0.26666666666666666,Central German,MHG,1,2,7.0
3,1,3,18,1295.0,0,0,0,1,1,0.0058155854588652,1.5240710959199404,0.47058823529411764,Central German,MHG,1,2,3.0
3,1,3,19,1298.0,0,0,0,1,1,0.0003877056972576,1.5240710959199404,0.3333333333333333,Central German,MHG,1,2,2.0
3,1,3,20,1300.0,0,0,0,3,3,0.024296223694814562,0.6033993001653694,0.42857142857142855,Central German,MHG,1,2,1.0
3,1,3,21,1301.0,0,0,0,3,3,0.0023262341835460333,1.092813125336981,0.36363636363636365,Central German,MHG,1,2,7.0
3,1,3,22,1308.0,0,0,0,2,2,0.017252903527966698,0.8771841400455012,0.21052631578947367,Central German,MHG,1,2,2.0
3,1,3,23,1310.0,0,0,0,1,1,0.0697870255063824,1.5240710959199404,0.1111111111111111,Central German,MHG,1,2,38.0
3,1,3,24,1348.0,0,0,0,1,1,0.0003877056972576,0.0062032911561228,0.5,Central German,MHG,1,2,0.0
4,1,4,1,1080.0,0,0,1,0,1,0.0058155854588652,0.2302971841710619,0.6363636363636364,Central German,MHG,1,2,20.0
4,1,4,2,1100.0,2,0,0,0,2,0.0007754113945152999,0.7775437758502773,0.21052631578947367,Central German,MHG,1,2,50.0
4,1,4,3,1150.0,0,0,1,0,1,0.0007754113945153,0.0337303956614181,0.45454545454545453,Central German,MHG,1,2,10.0
4,1,4,4,1160.0,1,0,2,0,3,0.030887220548195135,0.6050793581868193,0.2857142857142857,Central German,MHG,1,2,5.0
4,1,4,5,1165.0,1,0,2,0,3,0.007754113945153534,0.1638702747075794,0.2727272727272727,Central German,MHG,1,2,2.0
4,1,4,6,1167.0,0,0,3,2,5,0.01194133547553648,0.6580141093857346,0.2978723404255319,Central German,MHG,1,2,13.0
4,1,4,7,1180.0,3,0,2,0,5,0.01814462663165938,0.7079506031925238,0.36363636363636365,Central German,MHG,1,2,5.0
4,1,4,8,1185.0,1,0,0,0,1,0.0186098734683686,0.0228746361382031,0.3333333333333333,Central German,MHG,1,2,10.0
