has_levelled,element_type,is_bipartite,dialect,date,lemma_std,form,inflcat,log_freq
0,Consonant,1,High German,1475,ziehen,geczogen,ppl,12.911148396955392
0,Vowel,1,High German,1475,ziehen,geczogen,ppl,12.911148396955392
0,Consonant,1,High German,1475,verlieren,verloren,ppl,12.774112848225492
0,Vowel,1,High German,1475,verlieren,verloren,ppl,12.774112848225492
0,Consonant,1,High German,1475,ziehen,czoech,PastSgInd3,12.911148396955392
0,Vowel,1,High German,1475,ziehen,czoech,PastSgInd3,12.911148396955392
1,Consonant,1,High German,1475,fliehen,fluhen,PastPlInd3,11.081311434367002
0,Vowel,1,High German,1475,fliehen,fluhen,PastPlInd3,11.081311434367002
0,Consonant,1,High German,1475,fliehen,floch,PastSgInd3,11.081311434367002
0,Vowel,1,High German,1475,fliehen,floch,PastSgInd3,11.081311434367002
0,Consonant,1,High German,1475,ziehen,abcziehen,inf,12.911148396955392
0,Vowel,1,High German,1475,ziehen,abcziehen,inf,12.911148396955392
0,Consonant,1,High German,1475,ziehen,czwgen,PastPlInd3,12.911148396955392
1,Vowel,1,High German,1475,ziehen,czwgen,PastPlInd3,12.911148396955392
0,Consonant,1,High German,1475,ziehen,erczogen,ppl,12.911148396955392
0,Vowel,1,High German,1475,ziehen,erczogen,ppl,12.911148396955392
0,Consonant,1,High German,1475,ziehen,czugen,PastPlInd3,12.911148396955392
0,Vowel,1,High German,1475,ziehen,czugen,PastPlInd3,12.911148396955392
0,Consonant,1,High German,1475,ziehen,erzuege,PastSgInd2,12.911148396955392
0,Vowel,1,High German,1475,ziehen,erzuege,PastSgInd2,12.911148396955392
0,Consonant,1,High German,1475,ziehen,abgeczogen,ppl,12.911148396955392
0,Vowel,1,High German,1475,ziehen,abgeczogen,ppl,12.911148396955392
0,Consonant,1,High German,1475,ziehen,gezogen,ppl,12.911148396955392
0,Vowel,1,High German,1475,ziehen,gezogen,ppl,12.911148396955392
1,Consonant,1,High German,1475,ziehen,zogt,PastSgInd3,12.911148396955392
0,Vowel,1,High German,1475,ziehen,zogt,PastSgInd3,12.911148396955392
0,Consonant,1,High German,1475,ziehen,czucht,PastSgInd3,12.911148396955392
1,Vowel,1,High German,1475,ziehen,czucht,PastSgInd3,12.911148396955392
1,Consonant,1,High German,1475,fliehen,fluchen,PastPlInd3,11.081311434367002
0,Vowel,1,High German,1475,fliehen,fluchen,PastPlInd3,11.081311434367002
0,Consonant,1,High German,1475,ziehen,czugen,PastPlInd3,12.911148396955392
0,Vowel,1,High German,1475,ziehen,czugen,PastPlInd3,12.911148396955392
0,Consonant,1,High German,1475,ziehen,czugenn,PastPlInd3,12.911148396955392
0,Vowel,1,High German,1475,ziehen,czugenn,PastPlInd3,12.911148396955392
0,Consonant,1,High German,1475,ziehen,erzogen,ppl,12.911148396955392
0,Vowel,1,High German,1475,ziehen,erzogen,ppl,12.911148396955392
0,Consonant,1,Low German,1375,ziehen,anthen,inf,12.911148396955392
0,Vowel,1,Low German,1375,ziehen,anthen,inf,12.911148396955392
0,Consonant,1,Low German,1375,kiesen,keset,impPl.2,0.0
0,Vowel,1,Low German,1375,kiesen,keset,impPl.2,0.0
0,Consonant,1,Low German,1375,ziehen,togen,PastPlInd3,12.911148396955392
1,Vowel,1,Low German,1375,ziehen,togen,PastPlInd3,12.911148396955392
0,Consonant,1,Low German,1525,fliehen,vlein,inf,11.081311434367002
0,Vowel,1,Low German,1525,fliehen,vlein,inf,11.081311434367002
0,Consonant,1,Low German,1525,ziehen,vpgetzogen,ppl,12.911148396955392
0,Vowel,1,Low German,1525,ziehen,vpgetzogen,ppl,12.911148396955392
1,Consonant,1,Low German,1525,fliehen,gevluwen,ppl,11.081311434367002
1,Vowel,1,Low German,1525,fliehen,gevluwen,ppl,11.081311434367002
0,Consonant,1,Low German,1525,ziehen,Tzoigen,PastPlInd3,12.911148396955392
1,Vowel,1,Low German,1525,ziehen,Tzoigen,PastPlInd3,12.911148396955392
0,Consonant,1,Low German,1525,ziehen,tzeyn,PresPlInd3,12.911148396955392
0,Vowel,1,Low German,1525,ziehen,tzeyn,PresPlInd3,12.911148396955392
0,Consonant,1,Low German,1525,ziehen,tzogen,PastPlInd3,12.911148396955392
1,Vowel,1,Low German,1525,ziehen,tzogen,PastPlInd3,12.911148396955392
0,Consonant,1,Low German,1525,ziehen,tzoich,PastSgInd3,12.911148396955392
0,Vowel,1,Low German,1525,ziehen,tzoich,PastSgInd3,12.911148396955392
0,Consonant,1,Low German,1525,ziehen,vyssgetzogen,ppl,12.911148396955392
0,Vowel,1,Low German,1525,ziehen,vyssgetzogen,ppl,12.911148396955392
0,Consonant,1,Low German,1525,ziehen,tzoich,PastSgInd3,12.911148396955392
0,Vowel,1,Low German,1525,ziehen,tzoich,PastSgInd3,12.911148396955392
0,Consonant,1,Low German,1525,ziehen,tzogen,PastPlInd3,12.911148396955392
1,Vowel,1,Low German,1525,ziehen,tzogen,PastPlInd3,12.911148396955392
0,Consonant,1,Low German,1525,ziehen,tzogen,PastPlInd3,12.911148396955392
1,Vowel,1,Low German,1525,ziehen,tzogen,PastPlInd3,12.911148396955392
0,Consonant,1,Low German,1525,ziehen,tzoigen,PastPlInd3,12.911148396955392
1,Vowel,1,Low German,1525,ziehen,tzoigen,PastPlInd3,12.911148396955392
0,Consonant,1,Low German,1525,ziehen,durchgetzogen,ppl,12.911148396955392
0,Vowel,1,Low German,1525,ziehen,durchgetzogen,ppl,12.911148396955392
0,Consonant,1,Low German,1525,ziehen,tzoich,PastSgInd3,12.911148396955392
0,Vowel,1,Low German,1525,ziehen,tzoich,PastSgInd3,12.911148396955392
0,Consonant,1,Low German,1525,ziehen,tzogen,PastPlInd3,12.911148396955392
1,Vowel,1,Low German,1525,ziehen,tzogen,PastPlInd3,12.911148396955392
0,Consonant,1,Low German,1525,ziehen,vysstzogen,PastPlInd3,12.911148396955392
1,Vowel,1,Low German,1525,ziehen,vysstzogen,PastPlInd3,12.911148396955392
0,Consonant,1,Low German,1525,ziehen,tzogen,PastPlInd3,12.911148396955392
1,Vowel,1,Low German,1525,ziehen,tzogen,PastPlInd3,12.911148396955392
0,Consonant,1,Low German,1525,ziehen,vpgetzogen,ppl,12.911148396955392
0,Vowel,1,Low German,1525,ziehen,vpgetzogen,ppl,12.911148396955392
