lemma_id,variety,std_infl,support_tokens,vowel_mode_support,vowel_mode_tied,coda_mode_support,coda_mode_tied
10,Central German,PastPl,19,19,False,19,False
10,Central German,PastSg,8,8,False,8,False
10,Central German,Pres,35,27,False,35,False
10,Upper German,PastPl,24,24,False,24,False
10,Upper German,PastSg,38,38,False,37,False
10,Upper German,Pres,132,108,False,132,False
100,Central German,PastPl,3,3,False,3,False
100,Central German,PastSg,7,7,False,7,False
100,Central German,Pres,7,5,False,7,False
100,Upper German,PastPl,13,8,False,13,False
100,Upper German,PastSg,25,25,False,25,False
100,Upper German,Pres,50,26,False,50,False
101,Central German,PastPl,9,9,False,9,False
101,Central German,PastSg,9,9,False,9,False
101,Central German,Pres,13,11,False,13,False
101,Upper German,PastPl,21,21,False,21,False
101,Upper German,PastSg,20,20,False,20,False
101,Upper German,Pres,73,62,False,73,False
102,Central German,PastSg,2,2,False,2,False
102,Central German,Pres,3,3,False,3,False
102,Upper German,PastPl,6,6,False,6,False
102,Upper German,PastSg,12,10,False,11,False
102,Upper German,Pres,12,11,False,12,False
103,Central German,PastPl,9,8,False,8,False
103,Central German,PastSg,15,15,False,15,False
103,Central German,Pres,10,10,False,10,False
103,Upper German,PastPl,29,29,False,29,False
103,Upper German,PastSg,26,26,False,26,False
103,Upper German,Pres,62,49,False,62,False
105,Central German,Pres,2,1,True,2,False
107,Central German,PastPl,4,4,False,4,False
107,Central German,PastSg,4,4,False,4,False
107,Central German,Pres,5,5,False,5,False
107,Upper German,PastPl,4,4,False,4,False
107,Upper German,PastSg,21,20,False,20,False
107,Upper German,Pres,19,12,False,19,False
11,Central German,PastPl,23,16,False,23,False
11,Central German,PastSg,45,45,False,45,False
11,Central German,Pres,49,40,False,48,False
11,Upper German,PastPl,59,30,False,59,False
11,Upper German,PastSg,143,143,False,143,False
11,Upper German,Pres,235,187,False,200,False
112,Central German,PastSg,1,1,False,1,False
112,Central German,Pres,2,1,True,1,True
112,Upper German,PastSg,2,2,False,2,False
112,Upper German,Pres,3,3,False,3,False
115,Central German,PastPl,1,1,False,1,False
115,Central German,Pres,1,1,False,1,False
115,Upper German,PastPl,1,1,False,1,False
115,Upper German,PastSg,5,5,False,5,False
115,Upper German,Pres,9,9,False,9,False
117,Central German,PastPl,3,3,False,3,False
117,Central German,PastSg,3,3,False,3,False
117,Central German,Pres,2,2,False,2,False
117,Upper German,PastPl,13,13,False,13,False
117,Upper German,PastSg,9,9,False,9,False
117,Upper German,Pres,18,9,True,18,False
118,Central German,PastPl,5,5,False,3,False
118,Central German,PastSg,25,25,False,25,False
118,Central German,Pres,34,32,False,34,False
118,Upper German,PastPl,16,16,False,13,False
118,Upper German,PastSg,93,93,False,93,False
118,Upper German,Pres,93,83,False,93,False
119,Central German,PastPl,8,8,False,8,False
119,Central German,PastSg,57,56,False,55,False
119,Central German,Pres,31,21,False,20,False
119,Upper German,PastPl,71,71,False,71,False
119,Upper German,PastSg,268,268,False,264,False
119,Upper German,Pres,151,82,False,84,False
12,Central German,PastPl,4,4,False,4,False
12,Central German,PastSg,13,13,False,13,False
12,Central German,Pres,18,17,False,17,False
12,Upper German,PastPl,21,21,False,21,False
12,Upper German,PastSg,46,46,False,46,False
12,Upper German,Pres,56,56,False,56,False
121,Central German,PastPl,43,43,False,43,False
121,Central German,PastSg,90,90,False,90,False
121,Central German,Pres,64,64,False,64,False
121,Upper German,PastPl,83,83,False,83,False
121,Upper German,PastSg,231,231,False,231,False
121,Upper German,Pres,284,284,False,284,False
123,Central German,PastPl,7,7,False,7,False
123,Central German,PastSg,17,17,False,17,False
123,Central German,Pres,7,4,False,7,False
123,Upper German,PastPl,76,76,False,76,False
123,Upper German,PastSg,53,53,False,53,False
123,Upper German,Pres,65,42,False,65,False
124,Central German,PastPl,2,2,False,2,False
124,Central German,PastSg,4,4,False,4,False
124,Central German,Pres,4,2,True,4,False
124,Upper German,PastPl,6,6,False,6,False
124,Upper German,PastSg,17,17,False,17,False
124,Upper German,Pres,5,5,False,5,False
128,Central German,PastPl,6,4,False,5,False
128,Central German,PastSg,4,3,False,3,False
128,Central German,Pres,7,7,False,7,False
128,Upper German,PastPl,23,15,False,16,False
128,Upper German,PastSg,27,19,False,17,False
128,Upper German,Pres,20,18,False,18,False
13,Central German,PastPl,3,3,False,3,False
13,Central German,PastSg,6,5,False,5,False
13,Central German,Pres,3,3,False,3,False
13,Upper German,PastPl,10,10,False,10,False
13,Upper German,PastSg,42,42,False,42,False
13,Upper German,Pres,16,15,False,14,False
130,Central German,PastPl,1,1,False,1,False
130,Central German,PastSg,1,1,False,1,False
130,Central German,Pres,1,1,False,1,False
130,Upper German,PastPl,2,2,False,2,False
130,Upper German,PastSg,1,1,False,1,False
130,Upper German,Pres,2,2,False,2,False
133,Central German,PastPl,8,8,False,8,False
133,Central German,PastSg,6,6,False,6,False
133,Central German,Pres,11,11,False,11,False
133,Upper German,PastPl,19,19,False,19,False
133,Upper German,PastSg,16,16,False,10,False
133,Upper German,Pres,20,20,False,20,False
139,Central German,Pres,1,1,False,1,False
139,Upper German,PastPl,1,1,False,1,False
139,Upper German,PastSg,1,1,False,1,False
140,Central German,PastPl,1,1,False,1,False
140,Central German,PastSg,5,5,False,5,False
140,Central German,Pres,1,1,False,1,False
140,Upper German,PastPl,1,1,False,1,False
140,Upper German,PastSg,1,1,False,1,False
144,Central German,PastPl,1,1,False,1,False
144,Central German,PastSg,2,1,True,1,True
144,Central German,Pres,2,2,False,2,False
144,Upper German,PastPl,1,1,False,1,False
144,Upper German,PastSg,14,14,False,14,False
144,Upper German,Pres,30,30,False,30,False
145,Central German,PastPl,3,3,False,3,False
145,Central German,PastSg,22,22,False,22,False
145,Central German,Pres,20,14,False,20,False
145,Upper German,PastPl,4,4,False,3,False
145,Upper German,PastSg,40,40,False,40,False
145,Upper German,Pres,42,31,False,42,False
147,Upper German,PastPl,1,1,False,1,False
147,Upper German,Pres,3,2,False,3,False
148,Central German,PastSg,2,2,False,2,False
148,Central German,Pres,5,5,False,5,False
148,Upper German,PastPl,6,6,False,6,False
148,Upper German,PastSg,6,6,False,6,False
148,Upper German,Pres,30,30,False,30,False
15,Central German,PastPl,4,4,False,4,False
15,Central German,Pres,10,10,False,10,False
15,Upper German,PastPl,28,28,False,28,False
15,Upper German,PastSg,25,25,False,25,False
15,Upper German,Pres,76,76,False,76,False
156,Central German,PastPl,24,24,False,24,False
156,Central German,PastSg,20,20,False,20,False
156,Central German,Pres,26,21,False,24,False
156,Upper German,PastPl,36,36,False,36,False
156,Upper German,PastSg,77,77,False,77,False
156,Upper German,Pres,92,71,False,82,False
158,Central German,PastPl,1,1,False,1,False
158,Central German,PastSg,1,1,False,1,False
158,Central German,Pres,2,1,True,2,False
158,Upper German,PastPl,2,1,True,2,False
158,Upper German,PastSg,2,1,True,2,False
158,Upper German,Pres,1,1,False,1,False
16,Central German,PastPl,9,8,False,8,False
16,Central German,PastSg,17,17,False,17,False
16,Central German,Pres,7,5,False,7,False
16,Upper German,PastPl,36,36,False,36,False
16,Upper German,PastSg,63,63,False,63,False
16,Upper German,Pres,44,31,False,44,False
161,Upper German,Pres,3,3,False,3,False
163,Central German,PastPl,25,25,False,25,False
163,Central German,PastSg,44,44,False,44,False
163,Central German,Pres,22,22,False,22,False
163,Upper German,PastPl,97,94,False,96,False
163,Upper German,PastSg,201,198,False,198,False
163,Upper German,Pres,99,99,False,99,False
166,Central German,PastSg,1,1,False,1,False
166,Upper German,PastSg,1,1,False,1,False
166,Upper German,Pres,2,1,True,2,False
167,Central German,PastPl,1,1,False,1,False
167,Central German,PastSg,3,3,False,3,False
167,Central German,Pres,1,1,False,1,False
167,Upper German,PastPl,6,6,False,6,False
167,Upper German,PastSg,20,20,False,20,False
167,Upper German,Pres,49,49,False,49,False
168,Central German,PastPl,10,10,False,10,False
168,Central German,PastSg,4,4,False,4,False
168,Central German,Pres,24,16,False,24,False
168,Upper German,PastPl,42,42,False,42,False
168,Upper German,PastSg,49,49,False,49,False
168,Upper German,Pres,90,68,False,89,False
17,Central German,PastPl,11,11,False,11,False
17,Central German,PastSg,15,15,False,11,False
17,Central German,Pres,10,8,False,10,False
17,Upper German,PastPl,31,30,False,31,False
17,Upper German,PastSg,64,64,False,64,False
17,Upper German,Pres,51,31,False,51,False
170,Central German,PastPl,1,1,False,1,False
170,Central German,PastSg,1,1,False,1,False
170,Upper German,Pres,3,3,False,3,False
171,Upper German,Pres,1,1,False,1,False
172,Central German,PastPl,12,12,False,12,False
172,Central German,PastSg,16,16,False,16,False
172,Central German,Pres,22,21,False,21,False
172,Upper German,PastPl,37,37,False,37,False
172,Upper German,PastSg,100,99,False,99,False
172,Upper German,Pres,144,142,False,142,False
173,Central German,PastSg,1,1,False,1,False
173,Central German,Pres,2,2,False,2,False
173,Upper German,PastPl,1,1,False,1,False
173,Upper German,PastSg,8,8,False,8,False
173,Upper German,Pres,19,18,False,19,False
175,Upper German,PastPl,3,3,False,3,False
175,Upper German,PastSg,11,11,False,11,False
175,Upper German,Pres,5,3,False,3,False
18,Central German,PastPl,8,8,False,8,False
18,Central German,PastSg,82,82,False,82,False
18,Central German,Pres,17,10,False,17,False
18,Upper German,PastPl,35,35,False,35,False
18,Upper German,PastSg,229,229,False,229,False
18,Upper German,Pres,147,75,False,147,False
180,Central German,PastPl,3,2,False,3,False
180,Central German,PastSg,3,3,False,3,False
180,Central German,Pres,7,7,False,4,False
180,Upper German,PastPl,1,1,False,1,False
180,Upper German,PastSg,24,23,False,24,False
180,Upper German,Pres,10,8,False,8,False
181,Central German,PastPl,1,1,False,1,False
181,Central German,PastSg,7,7,False,7,False
181,Upper German,PastPl,1,1,False,1,False
181,Upper German,PastSg,12,12,False,12,False
181,Upper German,Pres,1,1,False,1,False
182,Upper German,PastPl,2,2,False,2,False
182,Upper German,PastSg,8,8,False,8,False
183,Central German,PastSg,1,1,False,1,False
183,Central German,Pres,3,3,False,3,False
183,Upper German,PastPl,2,2,False,2,False
183,Upper German,PastSg,8,7,False,7,False
183,Upper German,Pres,25,25,False,25,False
184,Central German,Pres,5,5,False,5,False
184,Upper German,PastPl,3,3,False,3,False
