seq_id,lemma_id,principal_part,n_obs
1,1,1,94
2,1,2,79
3,1,3,68
4,1,4,86
5,2,1,93
6,2,2,49
7,2,3,31
8,2,4,34
9,3,1,106
10,3,2,95
11,3,3,89
12,3,4,91
13,4,1,105
14,4,2,90
15,4,3,70
16,4,4,77
17,5,1,63
18,5,2,53
19,5,3,32
20,5,4,22
21,6,1,28
22,6,2,12
23,6,3,1
24,6,4,37
25,7,1,79
26,7,2,60
27,7,3,52
28,7,4,82
29,8,1,38
30,8,2,20
31,8,3,9
32,8,4,24
33,9,1,111
34,9,2,73
35,9,3,69
36,9,4,71
37,10,1,83
38,10,2,57
39,10,3,44
40,10,4,34
41,11,1,99
42,11,2,68
43,11,3,54
44,11,4,59
45,12,1,74
46,12,2,43
47,12,3,31
48,12,4,54
49,13,1,38
50,13,2,45
51,13,3,28
52,13,4,13
53,14,1,65
54,14,2,51
55,14,3,54
56,14,4,55
57,15,1,34
58,15,2,15
59,15,3,13
60,15,4,14
61,16,1,59
62,16,2,53
63,16,3,39
64,16,4,47
65,17,1,66
66,17,2,39
67,17,3,29
68,17,4,51
69,18,1,71
70,18,2,71
71,18,3,31
72,18,4,51
73,19,1,56
74,19,2,64
75,19,3,57
76,19,4,84
77,20,1,53
78,20,2,29
79,20,3,22
80,20,4,11
81,21,1,109
82,21,2,90
83,21,3,71
84,21,4,94
85,22,1,106
86,22,2,74
87,22,3,65
88,22,4,75
89,23,1,69
90,23,2,24
91,23,3,35
92,23,4,47
93,24,1,93
94,24,2,63
95,24,3,37
96,24,4,67
97,25,1,63
98,25,2,40
99,25,3,25
100,25,4,44
101,26,1,65
102,26,2,37
103,26,3,16
104,26,4,67
105,27,1,101
106,27,2,94
107,27,3,74
108,27,4,66
109,28,1,17
110,28,2,1
111,28,3,1
112,28,4,6
113,29,1,73
114,29,2,63
115,29,3,36
116,29,4,37
117,30,1,32
118,30,2,27
119,30,3,19
120,30,4,17
121,31,1,96
122,31,2,69
123,31,3,48
124,31,4,58
125,32,1,29
126,32,2,42
127,32,3,15
128,32,4,23
129,33,1,26
130,33,4,25
131,34,1,11
132,34,4,14
133,35,1,28
134,35,2,3
135,36,1,6
136,36,2,3
137,36,4,11
138,37,1,102
139,37,2,82
140,37,3,64
141,37,4,81
142,38,1,25
143,38,4,18
144,39,1,52
145,39,2,60
146,39,3,44
147,39,4,10
148,40,1,23
149,40,2,17
150,40,3,11
151,40,4,32
152,41,1,9
153,42,1,7
154,42,2,1
155,42,4,3
156,43,1,19
157,43,2,1
158,43,3,2
159,43,4,13
160,44,1,6
161,44,2,1
162,45,1,109
163,45,2,89
164,45,3,66
165,45,4,94
166,46,1,62
167,46,2,43
168,46,3,40
169,46,4,40
170,47,1,20
171,47,2,20
172,47,3,6
173,47,4,28
174,48,1,31
175,48,2,21
176,48,3,5
177,48,4,6
178,49,1,48
179,49,2,40
180,49,3,24
181,49,4,12
182,50,1,11
183,50,2,2
184,50,3,1
185,50,4,11
186,51,1,44
187,51,2,29
188,51,3,13
189,51,4,18
190,52,1,8
191,52,2,1
192,52,4,5
193,53,1,47
194,53,2,30
195,53,3,16
196,53,4,46
197,54,1,25
198,54,2,16
199,54,3,4
200,54,4,3
201,55,1,88
202,55,2,70
203,55,3,59
204,55,4,70
205,56,1,20
206,56,2,1
207,56,3,1
208,56,4,14
209,57,1,42
210,57,2,21
211,57,3,13
212,57,4,22
213,58,1,34
214,58,2,23
215,58,3,2
216,58,4,10
217,59,1,27
218,59,2,13
219,59,3,7
220,59,4,42
221,60,1,53
222,60,2,33
223,60,3,15
224,60,4,23
225,61,1,22
226,61,2,12
227,61,3,2
228,61,4,17
229,62,1,41
230,62,2,32
231,62,3,13
232,62,4,16
233,63,1,17
234,63,2,7
235,63,3,8
236,63,4,1
237,64,1,46
238,64,2,16
239,64,3,16
240,64,4,10
241,65,1,5
242,65,2,2
243,65,4,7
244,66,1,8
245,66,4,2
246,67,1,47
247,67,2,26
248,67,3,9
249,67,4,11
250,68,1,93
251,68,2,65
252,68,3,57
253,68,4,81
254,69,1,21
255,69,2,6
256,69,4,24
257,70,1,24
258,70,4,8
259,71,1,1
260,71,2,2
261,72,1,14
262,72,3,3
263,73,1,2
264,74,1,11
265,74,2,11
266,74,3,6
267,74,4,27
268,75,1,4
269,75,2,2
270,75,4,3
271,76,1,53
272,76,2,36
273,76,3,29
274,76,4,14
275,77,1,57
276,77,2,30
277,77,3,21
278,77,4,27
279,78,1,18
280,78,2,4
281,78,3,6
282,78,4,21
283,79,1,23
284,79,2,14
285,79,3,8
286,79,4,11
287,80,1,4
288,80,4,4
289,81,1,30
290,81,2,36
291,81,3,16
292,81,4,8
293,82,1,94
294,82,2,53
295,82,3,56
296,82,4,54
297,83,1,70
298,83,2,51
299,83,3,37
300,83,4,31
301,84,1,28
302,84,2,7
303,84,3,3
304,84,4,29
305,85,1,11
306,85,2,12
307,85,3,6
308,85,4,1
309,86,1,82
310,86,2,42
311,86,3,33
312,86,4,60
313,87,1,18
314,87,2,7
315,87,3,4
316,87,4,9
317,88,1,58
318,88,2,54
319,88,3,17
320,88,4,14
321,89,1,10
322,89,2,27
323,89,3,5
324,89,4,4
325,90,1,51
326,90,2,29
327,90,3,18
328,90,4,20
329,91,1,3
330,92,1,32
331,92,2,26
332,92,3,11
333,92,4,18
334,93,1,58
335,93,2,31
336,93,3,21
337,93,4,32
338,94,1,25
339,94,2,18
340,94,3,4
341,94,4,14
342,95,1,72
343,95,2,46
344,95,3,35
345,95,4,15
346,96,1,4
347,96,3,1
348,96,4,1
349,97,1,37
350,97,2,13
351,97,3,10
352,97,4,8
353,98,1,17
354,98,3,1
355,98,4,1
356,99,1,30
357,99,3,1
358,99,4,25
359,100,1,14
360,100,2,13
361,100,3,3
362,100,4,43
363,101,1,9
364,101,2,5
365,101,4,5
366,102,1,1
367,102,4,23
368,103,1,18
369,103,2,9
370,103,3,4
371,103,4,8
372,104,1,1
373,104,3,1
374,104,4,6
375,105,1,21
376,105,2,18
377,105,3,17
378,105,4,22
379,106,1,57
380,106,2,38
381,106,3,13
382,106,4,21
383,107,1,88
384,107,2,80
385,107,3,31
386,107,4,56
387,108,1,81
388,108,2,71
389,108,3,35
390,108,4,58
391,109,1,11
392,109,4,11
393,110,1,30
394,110,2,30
395,110,3,20
396,111,1,22
397,111,2,25
398,111,3,9
399,111,4,20
400,112,1,28
401,112,2,21
402,112,3,6
403,112,4,2
404,113,1,11
405,113,2,8
406,113,3,4
407,113,4,3
408,114,1,17
409,114,2,8
410,114,3,9
411,114,4,21
412,115,1,12
413,115,4,4
414,116,1,9
415,116,2,3
416,116,3,3
417,116,4,1
418,117,1,12
419,117,3,1
420,117,4,3
421,118,1,29
422,118,2,30
423,118,3,25
424,118,4,35
425,119,1,31
426,119,2,3
427,119,4,23
428,120,1,17
429,120,4,12
430,121,1,18
431,121,2,2
432,122,1,10
433,122,2,2
434,122,3,1
435,122,4,1
436,123,1,6
437,123,2,3
438,123,3,3
439,123,4,1
440,124,1,1
441,124,2,4
442,124,3,1
443,125,1,9
444,125,4,11
445,126,1,29
446,126,2,7
447,126,3,1
448,126,4,24
449,127,1,41
450,127,2,21
451,127,3,6
452,127,4,31
453,128,1,74
454,128,2,31
455,128,3,11
456,128,4,53
457,129,1,43
458,129,2,1
459,129,4,50
460,130,1,18
461,130,2,1
462,130,3,1
463,130,4,1
464,131,1,44
465,131,2,14
466,131,3,9
467,131,4,17
468,132,1,3
469,132,4,10
470,133,1,29
471,133,2,1
472,133,3,3
473,133,4,1
474,134,1,1
475,134,3,1
476,135,1,3
477,136,1,17
478,136,4,43
479,137,1,63
480,137,2,53
481,137,3,26
482,137,4,17
483,138,1,6
484,138,2,6
485,138,3,2
486,138,4,2
487,139,1,1
488,139,4,1
489,140,1,2
490,141,1,5
491,141,4,2
492,142,1,4
493,142,4,3
494,143,1,48
495,143,2,59
496,143,3,50
497,143,4,34
498,144,1,1
499,144,4,4
500,145,1,8
501,145,2,3
502,145,4,5
503,146,1,26
504,146,2,25
