seq_id,lemma_id,principal_part,n_obs
1,1,1,94
2,1,2,79
3,1,3,68
4,1,4,86
5,2,1,93
6,2,2,49
7,2,3,31
8,2,4,34
9,3,1,106
10,3,2,95
11,3,3,89
12,3,4,91
13,4,1,105
14,4,2,90
15,4,3,70
16,4,4,77
17,5,1,63
18,5,2,53
19,5,3,32
20,5,4,22
21,6,1,28
22,6,2,12
23,6,4,37
24,7,1,79
25,7,2,60
26,7,3,52
27,7,4,82
28,8,1,38
29,8,2,20
30,8,3,9
31,8,4,24
32,9,1,111
33,9,2,73
34,9,3,69
35,9,4,71
36,10,1,83
37,10,2,57
38,10,3,44
39,10,4,34
40,11,1,99
41,11,2,68
42,11,3,54
43,11,4,59
44,12,1,74
45,12,2,43
46,12,3,31
47,12,4,54
48,13,1,38
49,13,2,45
50,13,3,28
51,13,4,13
52,14,1,65
53,14,2,51
54,14,3,54
55,14,4,55
56,15,1,34
57,15,2,15
58,15,3,13
59,15,4,14
60,16,1,59
61,16,2,53
62,16,3,39
63,16,4,47
64,17,1,66
65,17,2,39
66,17,3,29
67,17,4,51
68,18,1,71
69,18,2,71
70,18,3,31
71,18,4,51
72,19,1,56
73,19,2,64
74,19,3,57
75,19,4,84
76,20,1,53
77,20,2,29
78,20,3,22
79,20,4,11
80,21,1,109
81,21,2,90
82,21,3,71
83,21,4,94
84,22,1,106
85,22,2,74
86,22,3,65
87,22,4,75
88,23,1,69
89,23,2,24
90,23,3,35
91,23,4,47
92,24,1,93
93,24,2,63
94,24,3,37
95,24,4,67
96,25,1,63
97,25,2,40
98,25,3,25
99,25,4,44
100,26,1,65
101,26,2,37
102,26,3,16
103,26,4,67
104,27,1,101
105,27,2,94
106,27,3,74
107,27,4,66
108,28,1,17
109,28,4,6
110,29,1,73
111,29,2,63
112,29,3,36
113,29,4,37
114,30,1,32
115,30,2,27
116,30,3,19
117,30,4,17
118,31,1,96
119,31,2,69
120,31,3,48
121,31,4,58
122,32,1,29
123,32,2,42
124,32,3,15
125,32,4,23
126,33,1,26
127,33,4,25
128,34,1,11
129,34,4,14
130,35,1,28
131,35,2,3
132,36,1,6
133,36,2,3
134,36,4,11
135,37,1,102
136,37,2,82
137,37,3,64
138,37,4,81
139,38,1,25
140,38,4,18
141,39,1,52
142,39,2,60
143,39,3,44
144,39,4,10
145,40,1,23
146,40,2,17
147,40,3,11
148,40,4,32
149,41,1,9
150,42,1,7
151,42,4,3
152,43,1,19
153,43,3,2
154,43,4,13
155,44,1,6
156,45,1,109
157,45,2,89
158,45,3,66
159,45,4,94
160,46,1,62
161,46,2,43
162,46,3,40
163,46,4,40
164,47,1,20
165,47,2,20
166,47,3,6
167,47,4,28
168,48,1,31
169,48,2,21
170,48,3,5
171,48,4,6
172,49,1,48
173,49,2,40
174,49,3,24
175,49,4,12
176,50,1,11
177,50,2,2
178,50,4,11
179,51,1,44
180,51,2,29
181,51,3,13
182,51,4,18
183,52,1,8
184,52,4,5
185,53,1,47
186,53,2,30
187,53,3,16
188,53,4,46
189,54,1,25
190,54,2,16
191,54,3,4
192,54,4,3
193,55,1,88
194,55,2,70
195,55,3,59
196,55,4,70
197,56,1,20
198,56,4,14
199,57,1,42
200,57,2,21
201,57,3,13
202,57,4,22
203,58,1,34
204,58,2,23
205,58,3,2
206,58,4,10
207,59,1,27
208,59,2,13
209,59,3,7
210,59,4,42
211,60,1,53
212,60,2,33
213,60,3,15
214,60,4,23
215,61,1,22
216,61,2,12
217,61,3,2
218,61,4,17
219,62,1,41
220,62,2,32
221,62,3,13
222,62,4,16
223,63,1,17
224,63,2,7
225,63,3,8
226,64,1,46
227,64,2,16
228,64,3,16
229,64,4,10
230,65,1,5
231,65,2,2
232,65,4,7
233,66,1,8
234,66,4,2
235,67,1,47
236,67,2,26
237,67,3,9
238,67,4,11
239,68,1,93
240,68,2,65
241,68,3,57
242,68,4,81
243,69,1,21
244,69,2,6
245,69,4,24
246,70,1,24
247,70,4,8
248,71,2,2
249,72,1,14
250,72,3,3
251,73,1,2
252,74,1,11
253,74,2,11
254,74,3,6
255,74,4,27
256,75,1,4
257,75,2,2
258,75,4,3
259,76,1,53
260,76,2,36
261,76,3,29
262,76,4,14
263,77,1,57
264,77,2,30
265,77,3,21
266,77,4,27
267,78,1,18
268,78,2,4
269,78,3,6
270,78,4,21
271,79,1,23
272,79,2,14
273,79,3,8
274,79,4,11
275,80,1,4
276,80,4,4
277,81,1,30
278,81,2,36
279,81,3,16
280,81,4,8
281,82,1,94
282,82,2,53
283,82,3,56
284,82,4,54
285,83,1,70
286,83,2,51
287,83,3,37
288,83,4,31
289,84,1,28
290,84,2,7
291,84,3,3
292,84,4,29
293,85,1,11
294,85,2,12
295,85,3,6
296,86,1,82
297,86,2,42
298,86,3,33
299,86,4,60
300,87,1,18
301,87,2,7
302,87,3,4
303,87,4,9
304,88,1,58
305,88,2,54
306,88,3,17
307,88,4,14
308,89,1,10
309,89,2,27
310,89,3,5
311,89,4,4
312,90,1,51
313,90,2,29
314,90,3,18
315,90,4,20
316,91,1,3
317,92,1,32
318,92,2,26
319,92,3,11
320,92,4,18
321,93,1,58
322,93,2,31
323,93,3,21
324,93,4,32
325,94,1,25
326,94,2,18
327,94,3,4
328,94,4,14
329,95,1,72
330,95,2,46
331,95,3,35
332,95,4,15
333,96,1,4
334,97,1,37
335,97,2,13
336,97,3,10
337,97,4,8
338,98,1,17
339,99,1,30
340,99,4,25
341,100,1,14
342,100,2,13
343,100,3,3
344,100,4,43
345,101,1,9
346,101,2,5
347,101,4,5
348,102,4,23
349,103,1,18
350,103,2,9
351,103,3,4
352,103,4,8
353,104,4,6
354,105,1,21
355,105,2,18
356,105,3,17
357,105,4,22
358,106,1,57
359,106,2,38
360,106,3,13
361,106,4,21
362,107,1,88
363,107,2,80
364,107,3,31
365,107,4,56
366,108,1,81
367,108,2,71
368,108,3,35
369,108,4,58
370,109,1,11
371,109,4,11
372,110,1,30
373,110,2,30
374,110,3,20
375,111,1,22
376,111,2,25
377,111,3,9
378,111,4,20
379,112,1,28
380,112,2,21
381,112,3,6
382,112,4,2
383,113,1,11
384,113,2,8
385,113,3,4
386,113,4,3
387,114,1,17
388,114,2,8
389,114,3,9
390,114,4,21
391,115,1,12
392,115,4,4
393,116,1,9
394,116,2,3
395,116,3,3
396,117,1,12
397,117,4,3
398,118,1,29
399,118,2,30
400,118,3,25
401,118,4,35
402,119,1,31
403,119,2,3
404,119,4,23
405,120,1,17
406,120,4,12
407,121,1,18
408,121,2,2
409,122,1,10
410,122,2,2
411,123,1,6
412,123,2,3
413,123,3,3
414,124,2,4
415,125,1,9
416,125,4,11
417,126,1,29
418,126,2,7
419,126,4,24
420,127,1,41
421,127,2,21
422,127,3,6
423,127,4,31
424,128,1,74
425,128,2,31
426,128,3,11
427,128,4,53
428,129,1,43
429,129,4,50
430,130,1,18
431,131,1,44
432,131,2,14
433,131,3,9
434,131,4,17
435,132,1,3
436,132,4,10
437,133,1,29
438,133,3,3
439,134,1,3
440,135,1,17
441,135,4,43
442,136,1,63
443,136,2,53
444,136,3,26
445,136,4,17
446,137,1,6
447,137,2,6
448,137,3,2
449,137,4,2
450,138,1,2
451,139,1,5
452,139,4,2
453,140,1,4
454,140,4,3
455,141,1,48
456,141,2,59
457,141,3,50
458,141,4,34
459,142,4,4
460,143,1,8
461,143,2,3
462,143,4,5
463,144,1,26
464,144,2,25
465,144,3,9
466,144,4,13
467,145,1,49
468,145,2,20
469,145,3,15
470,145,4,20
471,146,1,40
472,146,4,34
473,147,1,5
474,148,1,71
475,148,2,57
476,148,3,33
477,148,4,61
478,149,1,22
479,149,2,10
480,149,3,5
481,149,4,4
482,150,1,17
483,150,4,19
484,151,1,10
485,151,2,8
486,151,3,2
487,152,1,33
488,152,2,27
489,152,3,13
490,152,4,2
491,153,1,2
492,153,2,7
493,154,1,2
494,154,2,4
495,155,1,38
496,155,2,18
497,155,3,6
498,155,4,18
499,156,1,11
500,156,2,6
501,156,3,3
502,157,1,12
503,157,2,12
504,157,3,3
