seq_id,lemma_id,principal_part,n_obs
1,1,1,28
2,1,2,23
3,1,3,24
4,1,4,26
5,2,1,40
6,2,2,21
7,2,3,12
8,2,4,14
9,3,1,51
10,3,2,48
11,3,3,42
12,3,4,48
13,4,1,48
14,4,2,43
15,4,3,29
16,4,4,34
17,5,1,22
18,5,2,26
19,5,3,13
20,5,4,10
21,6,1,9
22,6,4,15
23,7,1,25
24,7,2,23
25,7,3,26
26,7,4,38
27,8,1,10
28,8,2,4
29,8,3,2
30,8,4,9
31,9,1,54
32,9,2,34
33,9,3,28
34,9,4,26
35,10,1,33
36,10,2,21
37,10,3,17
38,10,4,15
39,11,1,41
40,11,2,30
41,11,3,19
42,11,4,28
43,12,1,26
44,12,2,13
45,12,3,11
46,12,4,22
47,13,1,12
48,13,2,19
49,13,3,15
50,13,4,3
51,14,1,32
52,14,2,25
53,14,3,26
54,14,4,26
55,15,1,13
56,15,2,6
57,15,3,3
58,15,4,6
59,16,1,26
60,16,2,27
61,16,3,16
62,16,4,16
63,17,1,23
64,17,2,14
65,17,3,9
66,17,4,19
67,18,1,21
68,18,2,29
69,18,3,9
70,18,4,18
71,19,1,25
72,19,2,32
73,19,3,24
74,19,4,39
75,20,1,16
76,20,2,11
77,20,3,8
78,20,4,2
79,21,1,51
80,21,2,42
81,21,3,31
82,21,4,42
83,22,1,49
84,22,2,35
85,22,3,28
86,22,4,32
87,23,1,27
88,23,2,15
89,23,3,19
90,23,4,21
91,24,1,45
92,24,2,30
93,24,3,18
94,24,4,28
95,25,1,24
96,25,2,13
97,25,3,12
98,25,4,20
99,26,1,25
100,26,2,11
101,26,3,5
102,26,4,33
103,27,1,50
104,27,2,48
105,27,3,36
106,27,4,25
107,28,1,7
108,28,4,3
109,29,1,26
110,29,2,29
111,29,3,11
112,29,4,14
113,30,1,12
114,30,2,9
115,30,3,11
116,30,4,10
117,31,1,42
118,31,2,32
119,31,3,20
120,31,4,22
121,32,1,6
122,32,2,22
123,32,3,9
124,32,4,5
125,33,1,11
126,33,4,10
127,34,1,2
128,34,4,5
129,35,1,10
130,35,2,2
131,36,2,2
132,36,4,6
133,37,1,44
134,37,2,39
135,37,3,25
136,37,4,33
137,38,1,7
138,38,4,5
139,39,1,20
140,39,2,31
141,39,3,21
142,39,4,5
143,40,1,6
144,40,2,4
145,40,3,5
146,40,4,13
147,43,1,9
148,43,3,2
149,43,4,7
150,45,1,49
151,45,2,41
152,45,3,29
153,45,4,43
154,46,1,21
155,46,2,16
156,46,3,17
157,46,4,18
158,47,1,6
159,47,2,9
160,47,3,2
161,47,4,9
162,48,1,5
163,48,2,4
164,49,1,17
165,49,2,22
166,49,3,13
167,49,4,6
168,50,1,5
169,50,4,4
170,51,1,14
171,51,2,8
172,51,3,6
173,51,4,5
174,52,1,2
175,52,4,4
176,53,1,15
177,53,2,8
178,53,3,5
179,53,4,13
180,54,1,12
181,54,2,6
182,54,3,2
183,55,1,40
184,55,2,36
185,55,3,25
186,55,4,30
187,56,1,7
188,56,4,3
189,57,1,14
190,57,2,7
191,57,3,3
192,57,4,8
193,58,1,15
194,58,2,6
195,58,4,3
196,59,1,7
197,59,2,3
198,59,3,3
199,59,4,9
200,60,1,15
201,60,2,13
202,60,3,7
203,60,4,10
204,61,1,9
205,61,4,6
206,62,1,17
207,62,2,15
208,62,3,3
209,62,4,7
210,63,1,4
211,63,2,3
212,64,1,21
213,64,2,7
214,64,3,9
215,64,4,6
216,65,1,2
217,65,4,3
218,66,1,7
219,67,1,14
220,67,2,10
221,67,3,2
222,67,4,5
223,68,1,37
224,68,2,23
225,68,3,27
226,68,4,35
227,69,1,6
228,69,2,4
229,69,4,9
230,70,1,6
231,70,4,4
232,72,1,9
233,72,3,3
