form,norm,lemma,inflClass,infl,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part,std_infl,extracted_vowel,extracted_coda,anchor_coda_pastpl,anchor_coda_pastsg,anchor_coda_ppl,anchor_coda_pres,anchor_vowel_pastpl,anchor_vowel_pastsg,anchor_vowel_ppl,anchor_vowel_pres,diff_vowel_pres_pastsg,diff_cons_pres_pastsg,diff_vowel_pres_pastpl,diff_cons_pres_pastpl,diff_vowel_pastsg_pastpl,diff_cons_pastsg_pastpl,is_bipartite,target_vowel_pres,target_coda_pres,target_vowel_past,target_coda_past,target_pres_date,target_pres_n,target_past_date,target_past_n,target_pres_source,target_past_source,is_leveled_vowel_pres,is_leveled_vowel_past,is_leveled_cons_pres,is_leveled_cons_past,vowel_alternation_pres,vowel_alternation_past,cons_alternation_pres,cons_alternation_past
zoh,zôch,zièhen,st2b,Ind.Past.Sg.3,1100.0,M001,522,0.202382373968509,34,0.0131819937067611,MHG,17,Central German,2,PastSg,o,χ,g,χ,g,h,u,o,o,ie,True,False,True,True,True,True,1.0,ie,h,o,g,1525.0,2.0,1520.0,1.0,nhg,nhg,0,,,0,o ~ ie,o ~ u,,χ ~ g
ſprach,sprach,sprëchen,st4,Ind.Past.Sg.3,1100.0,M002,11533,4.471409806472824,3979,1.542680969388309,MHG,27,Central German,2,PastSg,a,χ,χ,χ,χ,χ,a,a,o,e,True,False,True,False,False,False,0.0,e,χ,a,χ,1525.0,2.0,1520.0,7.0,nhg,nhg,0,,,,a ~ e,,,
nichte,nîgte,nîgen/nider(e)>+,st1a,*.Past.Sg.3,1150.0,M004,3,0.001163117091773,1,0.0003877056972576,MHG,355,Upper German,2,PastSg,i,g,g,c,,g,i,ei,,i,True,False,False,False,True,False,0.0,,,,,,,,,,,,,,,ei ~ i,ei ~ i,,
geſchach,geschach,ge-schëhen,st5,Ind.Past.Sg.3,1150.0,M004,2495,0.9673257146579116,425,0.164774921334514,MHG,120,Upper German,2,PastSg,a,χ,h,χ,h,h,a,a,e,e,True,False,True,False,False,False,0.0,e,h,a,h,1534.0,3.0,1542.0,2.0,nhg,nhg,0,,,,a ~ e,,,
lie,lie,lâzen,st7,Ind.Past.Sg.3,1150.0,M004,3725,1.4442037222848585,142,0.0550542090105905,MHG,4,Upper German,2,PastSg,ie,,z,z,z,z,ie,ie,a,a,True,False,True,False,False,False,0.0,a,s,ie,s,1534.0,25.0,1486.0,1.0,nhg,nhg,0,,,,ie ~ a,,,
geſcahc,geschach,ge-schëhen,st5,Ind.Past.Sg.3,1150.0,M004,2495,0.9673257146579116,5,0.0019385284862884,MHG,120,Upper German,2,PastSg,a,χ,h,χ,h,h,a,a,e,e,True,False,True,False,False,False,0.0,e,h,a,h,1534.0,3.0,1542.0,2.0,nhg,nhg,0,,,,a ~ e,,,
ſprach,sprach,sprëchen/zuo>+,st4,Ind.Past.Sg.3,1150.0,M004,74,0.0286902215970683,3979,1.542680969388309,MHG,27,Upper German,2,PastSg,a,χ,χ,χ,χ,χ,a,a,o,e,True,False,True,False,False,False,0.0,e,χ,a,χ,1542.0,1.0,1523.0,5.0,nhg,nhg,0,,,,a ~ e,,,
enphienc,entvienc,ent-vâhen,st7,Ind.Past.Sg.3,1150.0,M004,1799,0.6974825493665664,21,0.0081418196424112,MHG,19,Upper German,2,PastSg,ie,nk,ng,nk,ng,h,ie,ie,a,a,True,True,True,True,False,False,1.0,a,ng,i,ng,1400.0,2.0,1523.0,1.0,nhg,nhg,0,,,,ie ~ a,,nk ~ h,
huͦb,huop,hèben,st6b,Ind.Past.Sg.3,1150.0,M004,657,0.2547226430982958,77,0.0298533386888413,MHG,92,Upper German,2,PastSg,uo,p,b,p,b,b,uo,uo,a,e,True,False,True,False,False,False,0.0,e,b,o,b,1542.0,1.0,1523.0,1.0,nhg,nhg,0,,,,uo ~ e,,,
fuͦr,vuor,var(e)n,st6,Ind.Past.Sg.3,1150.0,M004,2188,0.848300065599804,111,0.0430353323956024,MHG,91,Upper German,2,PastSg,uo,r,r,r,r,r,uo,uo,a,a,True,False,True,False,False,False,0.0,a,hr,u,hr,1523.0,2.0,1515.0,2.0,nhg,nhg,0,,,,uo ~ a,,,
