form,norm,lemma,inflClass,infl,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part
gieng,gienc,gân,irr,Ind.Past.Sg.3,1100.0,M001,3931,1.5240710959199404,71,0.0275271045052952,MHG,1,Central German,2
zoh,zôch,zièhen,st2b,Ind.Past.Sg.3,1100.0,M001,522,0.202382373968509,34,0.0131819937067611,MHG,275,Central German,2
geſ,gês,gân,irr,Ind.Pres.Sg.2,1100.0,M001,3931,1.5240710959199404,5,0.0019385284862884,MHG,1,Central German,1
rideſ,rîtes,rîten,st1a,Ind.Pres.Sg.2,1100.0,M001,994,0.3853794630741339,1,0.0003877056972576,MHG,162,Central German,1
riten,rîten,rîten,st1a,infinitive,1100.0,M001,994,0.3853794630741339,231,0.0895600160665241,MHG,162,Central German,1
giengon,giengen,gân,irr,Ind.Past.Pl.3,1100.0,M002,3931,1.5240710959199404,1,0.0003877056972576,MHG,1,Central German,3
ſprach,sprach,sprëchen,st4,Ind.Past.Sg.3,1100.0,M002,11533,4.471409806472824,3979,1.542680969388309,MHG,27,Central German,2
gegan,gegân,ge-gân,irr,Ind.Pres.Sg.1,1100.0,M002,24,0.0093049367341843,48,0.0186098734683686,MHG,1,Central German,1
ſtuont,stuont,stân,irr,Ind.Past.Sg.3,1100.0,M002,2872,1.113490762524057,12,0.0046524683670921,MHG,9,Central German,2
ſprecheſt,sprechest,sprëchen,st4,Subj.Pres.Sg.2,1150.0,M004,11533,4.471409806472824,3,0.001163117091773,MHG,27,Upper German,1
geſchehen,geschehen,ge-schëhen,st5,infinitive,1150.0,M004,2495,0.9673257146579116,222,0.0860706647912049,MHG,118,Upper German,1
geborn,geboren,ge-bër(e)n,st4,past_participle,1150.0,M004,947,0.367157295303023,544,0.2109118993081779,MHG,295,Upper German,4
erchorn,erkoren,er-kièsen,st2b,past_participle,1150.0,M004,236,0.0914985445528124,21,0.0081418196424112,MHG,329,Upper German,4
nichte,nîgte,nîgen/nider(e)>+,st1a,*.Past.Sg.3,1150.0,M004,3,0.001163117091773,1,0.0003877056972576,MHG,354,Upper German,2
giengen,giengen,gân,irr,(Subj).Past.Pl.3,1150.0,M004,3931,1.5240710959199404,180,0.0697870255063824,MHG,1,Upper German,3
geſcehen,geschehen,ge-schëhen,st5,past_participle,1150.0,M004,2495,0.9673257146579116,52,0.0201606962573993,MHG,118,Upper German,4
geſehen,gesehen,sëhen,st5,past_participle,1150.0,M004,4169,1.6163450518672682,322,0.1248412345169729,MHG,22,Upper German,4
geſchach,geschach,ge-schëhen,st5,Ind.Past.Sg.3,1150.0,M004,2495,0.9673257146579116,425,0.164774921334514,MHG,118,Upper German,2
