ENHG Lemma,MHG Candidates,Link
schreien,schrîen,https://www.dwds.de/wb/etymwb/schreien
beweisen,wîsen,https://www.dwds.de/wb/etymwb/beweisen
waschen,waschen,https://www.dwds.de/wb/etymwb/waschen
gelten,gëlten,https://www.dwds.de/wb/etymwb/gelten
treten,trëten,https://www.dwds.de/wb/etymwb/treten
braten,brâten,https://www.dwds.de/wb/etymwb/braten
lesen,lësen,https://www.dwds.de/wb/etymwb/lesen
tun,tuon,https://www.dwds.de/wb/etymwb/tun
erfahren,varen,https://www.dwds.de/wb/etymwb/erfahren
schreiten,schrîten,https://www.dwds.de/wb/etymwb/schreiten
halten,halten,https://www.dwds.de/wb/etymwb/halten
wachsen,wahsen,https://www.dwds.de/wb/etymwb/wachsen
bieten,bièten,https://www.dwds.de/wb/etymwb/bieten
scheiden,schèiden,https://www.dwds.de/wb/etymwb/scheiden
weichen,wîchen,https://www.dwds.de/wb/etymwb/weichen
löschen,lëschen,https://www.dwds.de/wb/etymwb/löschen
verlieren,lièsen,https://www.dwds.de/wb/etymwb/verlieren
fechten,vëhten,https://www.dwds.de/wb/etymwb/fechten
sitzen,sitzen,https://www.dwds.de/wb/etymwb/sitzen
bersten,brësten,https://www.dwds.de/wb/etymwb/bersten
gießen,gièzen,https://www.dwds.de/wb/etymwb/gießen
flechten,vlëhten,https://www.dwds.de/wb/etymwb/flechten
streichen,strîchen,https://www.dwds.de/wb/etymwb/streichen
wägen,wëgen,https://www.dwds.de/wb/etymwb/wägen
geraten,râten,https://www.dwds.de/wb/etymwb/geraten
tragen,tragen,https://www.dwds.de/wb/etymwb/tragen
bekommen,komen,https://www.dwds.de/wb/etymwb/bekommen
lügen,liègen,https://www.dwds.de/wb/etymwb/lügen
singen,singen,https://www.dwds.de/wb/etymwb/singen
schweifen,swèifen,https://www.dwds.de/wb/etymwb/schweifen
streiten,strîten,https://www.dwds.de/wb/etymwb/streiten
anfangen,vâhen,https://www.dwds.de/wb/etymwb/anfangen
schreiben,schrîben,https://www.dwds.de/wb/etymwb/schreiben
rufen,ruofen,https://www.dwds.de/wb/etymwb/rufen
laufen,loufen,https://www.dwds.de/wb/etymwb/laufen
schlafen,slâfen,https://www.dwds.de/wb/etymwb/schlafen
stehen,stên; stân,https://www.dwds.de/wb/etymwb/stehen
schleichen,slîchen,https://www.dwds.de/wb/etymwb/schleichen
entwerfen,wërfen,https://www.dwds.de/wb/etymwb/entwerfen
reiben,rîben,https://www.dwds.de/wb/etymwb/reiben
leiden,lîden,https://www.dwds.de/wb/etymwb/leiden
gehen,gân; gên,https://www.dwds.de/wb/etymwb/gehen
rinnen,rinnen,https://www.dwds.de/wb/etymwb/rinnen
spinnen,spinnen,https://www.dwds.de/wb/etymwb/spinnen
heischen,hèischen,https://www.dwds.de/wb/etymwb/heischen
verstehen,stân; stên,https://www.dwds.de/wb/etymwb/verstehen
sterben,stërben,https://www.dwds.de/wb/etymwb/sterben
seihen,sîhen,https://www.dwds.de/wb/etymwb/seihen
bescheiden,schîden,https://www.dwds.de/wb/etymwb/bescheiden
lassen,lâzen,https://www.dwds.de/wb/etymwb/lassen
schneiden,snîden,https://www.dwds.de/wb/etymwb/schneiden
verhalten,halten,https://www.dwds.de/wb/etymwb/verhalten
fliehen,vlièhen,https://www.dwds.de/wb/etymwb/fliehen
fliegen,vliègen,https://www.dwds.de/wb/etymwb/fliegen
helfen,hëlfen,https://www.dwds.de/wb/etymwb/helfen
meiden,mîden,https://www.dwds.de/wb/etymwb/meiden
waten,waten,https://www.dwds.de/wb/etymwb/waten
mahlen,malen,https://www.dwds.de/wb/etymwb/mahlen
rächen,rëchen,https://www.dwds.de/wb/etymwb/rächen
schaben,schaben,https://www.dwds.de/wb/etymwb/schaben
raten,râten,https://www.dwds.de/wb/etymwb/raten
sehen,sëhen,https://www.dwds.de/wb/etymwb/sehen
schelten,schëlten,https://www.dwds.de/wb/etymwb/schelten
leihen,lîhen,https://www.dwds.de/wb/etymwb/leihen
verfahren,varen,https://www.dwds.de/wb/etymwb/verfahren
stinken,stinken,https://www.dwds.de/wb/etymwb/stinken
empfehlen,enphallen,https://www.dwds.de/wb/etymwb/empfehlen
pflegen,pflëgen,https://www.dwds.de/wb/etymwb/pflegen
sinken,sinken,https://www.dwds.de/wb/etymwb/sinken
liegen,ligen,https://www.dwds.de/wb/etymwb/liegen
stechen,stëchen,https://www.dwds.de/wb/etymwb/stechen
schweigen,swîgen,https://www.dwds.de/wb/etymwb/schweigen
entrinnen,trinnen,https://www.dwds.de/wb/etymwb/entrinnen
schwimmen,swimmen,https://www.dwds.de/wb/etymwb/schwimmen
gefallen,vallen,https://www.dwds.de/wb/etymwb/gefallen
berufen,ruofen,https://www.dwds.de/wb/etymwb/berufen
gedeihen,dîhen,https://www.dwds.de/wb/etymwb/gedeihen
stehlen,stëlen,https://www.dwds.de/wb/etymwb/stehlen
vergessen,gëzzen,https://www.dwds.de/wb/etymwb/vergessen
schlagen,slahen,https://www.dwds.de/wb/etymwb/schlagen
empfinden,vinden,https://www.dwds.de/wb/etymwb/empfinden
trinken,trinken,https://www.dwds.de/wb/etymwb/trinken
springen,springen,https://www.dwds.de/wb/etymwb/springen
begreifen,grîfen,https://www.dwds.de/wb/etymwb/begreifen
genesen,nësen,https://www.dwds.de/wb/etymwb/genesen
greifen,grîfen,https://www.dwds.de/wb/etymwb/greifen
geschehen,schëhen,https://www.dwds.de/wb/etymwb/geschehen
nagen,nagen,https://www.dwds.de/wb/etymwb/nagen
finden,vinden,https://www.dwds.de/wb/etymwb/finden
fahren,varen,https://www.dwds.de/wb/etymwb/fahren
ausweisen,wîsen,https://www.dwds.de/wb/etymwb/ausweisen
riechen,rièchen,https://www.dwds.de/wb/etymwb/riechen
zeigen,,https://www.dwds.de/wb/etymwb/zeigen
ziemen,zëmen,https://www.dwds.de/wb/etymwb/ziemen
kommen,komen,https://www.dwds.de/wb/etymwb/kommen
wissen,wîzen,https://www.dwds.de/wb/etymwb/wissen
schwinden,swinten,https://www.dwds.de/wb/etymwb/schwinden
brechen,brëchen,https://www.dwds.de/wb/etymwb/brechen
klingen,klingen,https://www.dwds.de/wb/etymwb/klingen
kriechen,krièchen,https://www.dwds.de/wb/etymwb/kriechen
stieben,stièben,https://www.dwds.de/wb/etymwb/stieben
essen,ëzzen,https://www.dwds.de/wb/etymwb/essen
saugen,sûgen,https://www.dwds.de/wb/etymwb/saugen
