lemma_id,lemma,in_model,nhg_infinitive,nhg_preterite,nhg_preterite_variants,variant_selection,confidence,source_infinitive,source_preterite,curator_note
52,bersten,yes,bersten,,,,,dwds,,no UniMorph entry for the resolved infinitive 'bersten'
123,zëmen,yes,ziemen,,,,,dwds,,no UniMorph entry for the resolved infinitive 'ziemen'
51,bergen,yes,bergen,barg,barg,single,high,dwds,unimorph-deu-d226d21,
70,blasen,yes,blasen,blies,blies,single,high,dwds,unimorph-deu-d226d21,
72,braten,yes,braten,briet,briet,single,high,dwds,unimorph-deu-d226d21,
30,brechen,yes,brechen,brach,brach,single,high,dwds,unimorph-deu-d226d21,
74,brennen,yes,brennen,brannte,brannte,single,high,dwds,unimorph-deu-d226d21,
31,dringen,yes,dringen,drang,drang,single,high,dwds,unimorph-deu-d226d21,
305,drëschen,yes,dreschen,drosch,drosch,single,high,unimorph,unimorph-deu-d226d21,
67,dwingen,yes,zwingen,zwang,zwang,single,high,dwds,unimorph-deu-d226d21,
112,dîhen,yes,gedeihen,gedieh,gedieh,single,high,dwds,unimorph-deu-d226d21,
103,essen,yes,essen,aß,aß,single,high,dwds,unimorph-deu-d226d21,
32,fallen,yes,fallen,fiel,fiel,single,high,dwds,unimorph-deu-d226d21,
39,finden,yes,finden,fand,fand,single,high,dwds,unimorph-deu-d226d21,
107,fliegen,yes,fliegen,flog,flog,single,high,dwds,unimorph-deu-d226d21,
84,fliehen,yes,fliehen,floh,floh,single,high,dwds,unimorph-deu-d226d21,
21,geben,yes,geben,gab,gab,single,high,dwds,unimorph-deu-d226d21,
18,gebot,yes,bieten,bot,bot,single,high,dwds,unimorph-deu-d226d21,
85,gelten,yes,gelten,galt,galt,single,high,dwds,unimorph-deu-d226d21,
121,gewinn,yes,gewinnen,gewann,gewann,single,high,dwds,unimorph-deu-d226d21,
124,gießen,yes,gießen,goss,goss,single,high,dwds,unimorph-deu-d226d21,
42,graben,yes,graben,grub,grub,single,high,dwds,unimorph-deu-d226d21,
23,grîfen,yes,greifen,griff,griff,single,high,dwds,unimorph-deu-d226d21,
214,gëzzen,yes,vergessen,vergaß,vergaß,single,high,dwds,unimorph-deu-d226d21,
24,halten,yes,halten,hielt,hielt,single,high,dwds,unimorph-deu-d226d21,
128,hauen,yes,hauen,hieb,haute|hieb,policy,policy,dwds,unimorph-deu-d226d21,"strong form still current for the 'hew, strike' sense of MHG houwen; haute is colloquial"
91,heben,yes,heben,hob,hob,single,high,dwds,unimorph-deu-d226d21,
130,heischen,yes,heischen,heischte,heischte,single,high,dwds,unimorph-deu-d226d21,
2,helfen,yes,helfen,half,half,single,high,dwds,unimorph-deu-d226d21,
379,hinken,yes,hinken,hinkte,hinkte,single,high,unimorph,unimorph-deu-d226d21,
133,hâhen,yes,hängen,hing,hing|hängte,policy,policy,dwds,unimorph-deu-d226d21,hing is the intransitive reflex of MHG hâhen; hängte belongs to the transitive causative (MHG hengen)
237,hèizen,yes,heizen,heizte,heizte,single,high,unimorph,unimorph-deu-d226d21,
327,hëllen,yes,hellen,hellte,hellte,single,high,unimorph,unimorph-deu-d226d21,
329,kièsen,yes,kiesen,kor,kor,single,high,unimorph,unimorph-deu-d226d21,
93,klingen,yes,klingen,klang,klang,single,high,dwds,unimorph-deu-d226d21,
3,komen,yes,kommen,kam,kam,single,high,dwds,unimorph-deu-d226d21,
140,krauchen,yes,kriechen,kroch,kroch,single,high,dwds,unimorph-deu-d226d21,
86,laden,yes,laden,lud,lud,single,high,dwds,unimorph-deu-d226d21,
5,lauf,yes,laufen,lief,lief,single,high,dwds,unimorph-deu-d226d21,
145,lesen,yes,lesen,las,las,single,high,dwds,unimorph-deu-d226d21,
25,ligen,yes,liegen,lag,lag,single,high,dwds,unimorph-deu-d226d21,
115,lingen,yes,gelingen,gelang,gelang,single,high,dwds,unimorph-deu-d226d21,
215,lièsen,yes,verlieren,verlor,verlor,single,high,dwds,unimorph-deu-d226d21,
4,lâzen,yes,lassen,ließ,ließ,single,high,dwds,unimorph-deu-d226d21,
94,lîden,yes,leiden,litt,litt,single,high,dwds,unimorph-deu-d226d21,
144,lîhen,yes,leihen,lieh,lieh,single,high,dwds,unimorph-deu-d226d21,
48,lügen,yes,liegen,lag,lag,single,high,dwds_normalized,unimorph-deu-d226d21,
147,malen,yes,mahlen,mahlte,mahlte|muhl,policy,policy,dwds,unimorph-deu-d226d21,muhl has dropped out of present-day German; mahlte is the settled form
117,messen,yes,messen,maß,maß,single,high,dwds,unimorph-deu-d226d21,
148,mîden,yes,meiden,mied,mied,single,high,dwds,unimorph-deu-d226d21,
49,nëmen,yes,nehmen,nahm,nahm,single,high,dwds,unimorph-deu-d226d21,
118,nësen,yes,genesen,genas,genas,single,high,dwds,unimorph-deu-d226d21,
156,pflegen,yes,pflegen,pflegte,pflegte,single,high,dwds,unimorph-deu-d226d21,
158,quëlen,yes,quellen,quoll,quoll,single,high,dwds,unimorph-deu-d226d21,
50,raten,yes,raten,riet,riet,single,high,dwds,unimorph-deu-d226d21,
166,riechen,yes,riechen,roch,roch,single,high,dwds,unimorph-deu-d226d21,
244,ringen,yes,ringen,rang,rang,single,high,unimorph,unimorph-deu-d226d21,
167,rinnen,yes,rinnen,rann,rann,single,high,dwds,unimorph-deu-d226d21,
53,rufen,yes,rufen,rief,rief,single,high,dwds,unimorph-deu-d226d21,
163,rîten,yes,reiten,ritt,ritt,single,high,dwds,unimorph-deu-d226d21,
356,schalten,yes,schalten,schaltete,schaltete,single,high,unimorph,unimorph-deu-d226d21,
172,scheiden,yes,scheiden,schied,schied,single,high,dwds,unimorph-deu-d226d21,
173,schelten,yes,schelten,schalt,schalt,single,high,dwds,unimorph-deu-d226d21,
338,schièben,yes,schieben,schob,schob,single,high,unimorph,unimorph-deu-d226d21,
97,schrecken,yes,schrecken,schreckte,schreckte|schrak,policy,policy,dwds,unimorph-deu-d226d21,"the simplex schrecken is weak today; the strong schrak survives only in the prefixed erschrak, so it is not the endpoint of this headword. Flip to 'schrak' to treat the prefixed form as the continuation"
26,schrîben,yes,schreiben,schrieb,schrieb,single,high,dwds,unimorph-deu-d226d21,
