form_id,time,time_since_prev,obs_v,obs_c,dialect_group
deihen-_--,1650,0.0,1,1,Upper German
deihen-_--,1664,14.0,1,1,Central German
deihen-_--,1684,20.0,1,1,Upper German
deihen-_---,1611,0.0,1,1,Upper German
deihen-_---,1734,123.0,1,1,Central German
deihen-_---,1756,22.0,1,1,Central German
dîhen_--,1130,0.0,1,1,Upper German
dîhen_--,1200,70.0,1,1,Upper German
dîhen_--,1225,25.0,1,1,Central German
dîhen_--,1250,25.0,1,1,Upper German
dîhen_--,1250,0.0,1,1,Upper German
dîhen_--,1275,25.0,1,1,Upper German
dîhen_--,1341,66.0,1,1,Upper German
dîhen_--,1347,6.0,1,1,Upper German
dîhen_Ind.Past.Sg.3,1050,0.0,1,1,Upper German
dîhen_Ind.Past.Sg.3,1130,80.0,1,1,Upper German
dîhen_Ind.Past.Sg.3,1150,20.0,1,1,Upper German
dîhen_Ind.Past.Sg.3,1225,75.0,1,1,Central German
dîhen_Ind.Past.Sg.3,1250,25.0,1,1,Upper German
dîhen_Ind.Past.Sg.3,1269,19.0,1,1,Central German
dîhen_Ind.Past.Sg.3,1325,56.0,1,1,Central German
dîhen_Ind.Pres.Sg.3,1065,0.0,1,1,Upper German
dîhen_Ind.Pres.Sg.3,1150,85.0,1,1,Upper German
dîhen_Ind.Pres.Sg.3,1347,197.0,1,1,Upper German
dîhen_Subj.Pres.Sg.3,1130,0.0,1,1,Upper German
dîhen_Subj.Pres.Sg.3,1160,30.0,1,0,Central German
fliehen_--,1325,0.0,1,0,Upper German
fliehen_--,1350,25.0,1,0,Upper German
fliehen_--,1375,25.0,1,1,Upper German
fliehen_--,1375,0.0,1,1,Upper German
fliehen_--,1400,25.0,1,1,Upper German
fliehen_--,1450,50.0,1,0,Upper German
fliehen_--,1463,13.0,1,1,Upper German
fliehen_--,1475,12.0,1,0,Upper German
fliehen_--,1475,0.0,1,0,Upper German
fliehen_--,1475,0.0,0,1,Low German
fliehen_--,1475,0.0,1,0,Upper German
fliehen_--,1475,0.0,1,0,Upper German
fliehen_--,1475,0.0,1,1,Central German
fliehen_--,1475,0.0,1,1,Central German
fliehen_--,1475,0.0,1,0,Upper German
fliehen_--,1475,0.0,0,0,Upper German
fliehen_--,1475,0.0,1,0,Upper German
fliehen_--,1475,0.0,1,1,Upper German
fliehen_--,1475,0.0,1,0,Upper German
fliehen_--,1475,0.0,1,1,Central German
fliehen_--,1486,11.0,1,1,Upper German
fliehen_--,1490,4.0,1,1,Upper German
fliehen_--,1498,8.0,1,0,Upper German
fliehen_--,1525,27.0,1,1,Central German
fliehen_--,1525,0.0,1,0,Upper German
fliehen_--,1525,0.0,1,0,Upper German
fliehen_--,1525,0.0,1,1,Central German
fliehen_--,1525,0.0,1,1,Central German
fliehen_--,1556,31.0,1,1,Central German
fliehen_--,1557,1.0,1,0,Upper German
fliehen_--,1578,21.0,1,1,Upper German
fliehen_--,1599,21.0,1,1,Central German
fliehen_--,1650,51.0,1,1,Upper German
fliehen_--,1684,34.0,1,0,Upper German
fliehen_1.Sg.Past.Ind,1375,0.0,1,0,Upper German
fliehen_1.Sg.Past.Ind,1475,100.0,1,1,Central German
fliehen_1.Sg.Past.Ind,1525,50.0,1,1,Central German
fliehen_3.Pl.Past.Ind,1325,0.0,0,1,Low German
fliehen_3.Pl.Past.Ind,1325,0.0,0,0,Upper German
fliehen_3.Pl.Past.Ind,1350,25.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1350,0.0,0,0,Upper German
fliehen_3.Pl.Past.Ind,1375,25.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1450,75.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,25.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,0,1,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,0,1,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,0,1,Central German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,1,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1475,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1525,50.0,0,0,Upper German
fliehen_3.Pl.Past.Ind,1525,0.0,1,0,Upper German
fliehen_3.Pl.Past.Ind,1550,25.0,1,0,Upper German
fliehen_3.Sg.Past.Ind,1325,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1350,25.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1350,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1375,25.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1450,75.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,25.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,0.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1475,0.0,0,0,Upper German
fliehen_3.Sg.Past.Ind,1525,50.0,1,1,Upper German
fliehen_3.Sg.Past.Ind,1550,25.0,1,1,Upper German
fliehen_Ind.Past.Pl.3,1378,0.0,1,0,Central German
fliehen_Ind.Past.Pl.3,1392,14.0,1,0,Upper German
fliehen_Ind.Past.Pl.3,1396,4.0,1,0,Central German
fliehen_Ind.Past.Pl.3,1450,54.0,1,0,Upper German
fliehen_Ind.Past.Pl.3,1557,107.0,0,0,Upper German
fliehen_Ind.Past.Pl.3,1599,42.0,0,0,Central German
fliehen_Ind.Past.Pl.3,1660,61.0,0,0,Upper German
fliehen_Ind.Past.Sg.3,1378,0.0,1,0,Central German
fliehen_Ind.Past.Sg.3,1400,22.0,1,1,Upper German
fliehen_Ind.Past.Sg.3,1475,75.0,1,1,Central German
fliehen_Ind.Past.Sg.3,1498,23.0,1,1,Upper German
fliehen_Ind.Past.Sg.3,1499,1.0,1,1,Central German
fliehen_Ind.Past.Sg.3,1599,100.0,1,1,Central German
fliehen_Ind.Past.Sg.3,1668,69.0,1,1,Upper German
fliehen_Ind.Pres.Pl.3,1557,0.0,1,1,Upper German
fliehen_Ind.Pres.Pl.3,1650,93.0,1,1,Upper German
fliehen_Sg.2,1490,0.0,1,1,Upper German
fliehen_Sg.2,1498,8.0,1,1,Upper German
fliehen_Subj.Pres.Sg.3,1499,0.0,1,1,Central German
fliehen_Subj.Pres.Sg.3,1653,154.0,1,1,Central German
frieren_--,1499,0.0,1,1,Central German
frieren_--,1557,58.0,1,1,Upper German
frieren_Ind.Pres.Sg.3,1486,0.0,1,0,Upper German
frieren_Ind.Pres.Sg.3,1490,4.0,1,0,Upper German
frieren_Ind.Pres.Sg.3,1498,8.0,1,1,Upper German
kiesen2_--,1325,0.0,1,1,Upper German
kiesen2_--,1360,35.0,1,1,Upper German
kiesen2_--,1378,18.0,1,1,Central German
kiesen2_--,1390,12.0,1,1,Upper German
kiesen2_--,1396,6.0,1,1,Central German
kiesen2_--,1599,203.0,1,1,Central German
kiesen2_--,1668,69.0,1,1,Upper German
kiesen2_--,1678,10.0,1,1,Upper German
kiesen2_Ind.Past.Pl.3,1396,0.0,0,1,Central German
kiesen2_Ind.Past.Pl.3,1475,79.0,0,1,Central German
kiesen2_Ind.Pres.Pl.3,1390,0.0,1,1,Upper German
kiesen2_Ind.Pres.Pl.3,1396,6.0,1,1,Central German
kiesen2_Pl,1375,0.0,1,1,Low German
kiesen2_Pl,1475,100.0,1,1,Upper German
kièsen_(Ind).Past.Pl.3,1250,0.0,0,1,Central German
kièsen_(Ind).Past.Pl.3,1301,51.0,0,1,Upper German
kièsen_*.Past.Pl.2,1050,0.0,1,1,Upper German
kièsen_*.Past.Pl.2,1225,175.0,1,1,Central German
kièsen_*.Past.Pl.3,1050,0.0,1,1,Upper German
kièsen_*.Past.Pl.3,1050,0.0,1,1,Upper German
kièsen_*.Past.Pl.3,1100,50.0,1,1,Upper German
kièsen_*.Past.Pl.3,1140,40.0,1,1,Upper German
kièsen_*.Past.Pl.3,1140,0.0,0,1,Central German
kièsen_*.Past.Pl.3,1140,0.0,0,1,Central German
kièsen_*.Past.Pl.3,1150,10.0,1,1,Upper German
kièsen_*.Past.Pl.3,1150,0.0,0,1,Upper German
