original_lemma_id,new_lemma_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
36,35
37,36
38,37
39,38
40,39
41,40
43,41
44,42
45,43
46,44
47,45
48,46
49,47
50,48
51,49
52,50
53,51
54,52
55,53
56,54
57,55
58,56
60,57
62,58
63,59
65,60
66,61
67,62
68,63
69,64
70,65
71,66
72,67
73,68
74,69
75,70
76,71
77,72
80,73
81,74
82,75
83,76
84,77
85,78
86,79
87,80
88,81
89,82
90,83
91,84
92,85
93,86
94,87
95,88
96,89
97,90
98,91
99,92
100,93
101,94
102,95
104,96
106,97
107,98
109,99
110,100
111,101
113,102
114,103
115,104
116,105
117,106
118,107
120,108
121,109
122,110
123,111
125,112
126,113
127,114
128,115
129,116
131,117
132,118
133,119
135,120
136,121
138,122
139,123
140,124
141,125
142,126
143,127
144,128
145,129
146,130
147,131
148,132
150,133
151,134
152,135
153,136
155,137
157,138
158,139
159,140
160,141
161,142
162,143
164,144
165,145
166,146
167,147
168,148
169,149
170,150
171,151
172,152
173,153
174,154
179,155
180,156
181,157
182,158
183,159
184,160
185,161
186,162
187,163
188,164
190,165
191,166
192,167
193,168
194,169
196,170
197,171
198,172
199,173
200,174
201,175
203,176
204,177
205,178
208,179
210,180
211,181
212,182
213,183
214,184
215,185
216,186
217,187
218,188
219,189
220,190
221,191
222,192
225,193
226,194
227,195
229,196
230,197
231,198
232,199
235,200
236,201
237,202
238,203
239,204
240,205
243,206
244,207
248,208
249,209
250,210
251,211
252,212
253,213
255,214
256,215
257,216
259,217
260,218
262,219
263,220
265,221
266,222
267,223
269,224
270,225
271,226
272,227
273,228
274,229
275,230
276,231
278,232
280,233
281,234
282,235
292,236
294,237
295,238
296,239
297,240
299,241
302,242
305,243
307,244
308,245
310,246
311,247
314,248
317,249
318,250
321,251
322,252
323,253
324,254
326,255
327,256
329,257
331,258
338,259
340,260
342,261
344,262
347,263
351,264
352,265
353,266
354,267
356,268
357,269
358,270
360,271
361,272
364,273
367,274
371,275
375,276
379,277
383,278
410,279
422,280
435,281
436,282
445,283
446,284
447,285
450,286
